season,date,home_team,away_team,home_goals,away_goals
Ligue 1 2022/2023,09.05.2023,Gendrim,Ksar,3,1
Ligue 1 2022/2023,09.05.2023,Nouakchott King's,Douane,0,1
Ligue 1 2022/2023,08.05.2023,Inter Nouakchott,Nouadhibou,0,1
Ligue 1 2022/2023,08.05.2023,SNIM,Chemal,1,1
Ligue 1 2022/2023,08.05.2023,Tevragh-Zeina,Madine Trarza,4,2
Ligue 1 2022/2023,07.05.2023,ASAC Concorde,Kaedi,2,1
Ligue 1 2022/2023,07.05.2023,Garde Nationale,Police,1,3
Ligue 1 2022/2023,28.04.2023,Nouadhibou,Tevragh-Zeina,2,1
Ligue 1 2022/2023,28.04.2023,Police,SNIM,0,2
Ligue 1 2022/2023,27.04.2023,Douane,Inter Nouakchott,1,1
Ligue 1 2022/2023,27.04.2023,Ksar,Kaedi,1,0
Ligue 1 2022/2023,27.04.2023,Madine Trarza,Garde Nationale,1,0
Ligue 1 2022/2023,26.04.2023,Chemal,ASAC Concorde,1,0
Ligue 1 2022/2023,26.04.2023,Gendrim,Nouakchott King's,1,0
Ligue 1 2022/2023,19.04.2023,Garde Nationale,Nouadhibou,0,1
Ligue 1 2022/2023,18.04.2023,Inter Nouakchott,Gendrim,2,0
Ligue 1 2022/2023,18.04.2023,Nouakchott King's,Ksar,1,1
Ligue 1 2022/2023,17.04.2023,ASAC Concorde,Police,0,0
Ligue 1 2022/2023,17.04.2023,Madine Trarza,SNIM,0,1
Ligue 1 2022/2023,16.04.2023,Kaedi,Chemal,2,2
Ligue 1 2022/2023,16.04.2023,Tevragh-Zeina,Douane,1,1
Ligue 1 2022/2023,05.04.2023,Ksar,Chemal,1,0
Ligue 1 2022/2023,04.04.2023,Douane,Garde Nationale,1,1
Ligue 1 2022/2023,04.04.2023,Nouakchott King's,Inter Nouakchott,0,1
Ligue 1 2022/2023,03.04.2023,Gendrim,Tevragh-Zeina,0,2
Ligue 1 2022/2023,03.04.2023,Nouadhibou,SNIM,1,0
Ligue 1 2022/2023,02.04.2023,Madine Trarza,ASAC Concorde,0,2
Ligue 1 2022/2023,02.04.2023,Police,Kaedi,0,1
Ligue 1 2022/2023,19.03.2023,ASAC Concorde,Nouadhibou,1,2
Ligue 1 2022/2023,19.03.2023,Inter Nouakchott,Ksar,0,0
Ligue 1 2022/2023,18.03.2023,Chemal,Police,2,0
Ligue 1 2022/2023,18.03.2023,Garde Nationale,Gendrim,0,1
Ligue 1 2022/2023,18.03.2023,Kaedi,Madine Trarza,1,0
Ligue 1 2022/2023,18.03.2023,SNIM,Douane,1,1
Ligue 1 2022/2023,17.03.2023,Tevragh-Zeina,Nouakchott King's,2,0
Ligue 1 2022/2023,12.03.2023,Ksar,Police,0,0
Ligue 1 2022/2023,12.03.2023,Nouakchott King's,Garde Nationale,1,0
Ligue 1 2022/2023,11.03.2023,Douane,ASAC Concorde,1,0
Ligue 1 2022/2023,11.03.2023,Inter Nouakchott,Tevragh-Zeina,0,1
Ligue 1 2022/2023,11.03.2023,Madine Trarza,Chemal,0,3
Ligue 1 2022/2023,10.03.2023,Gendrim,SNIM,2,0
Ligue 1 2022/2023,10.03.2023,Nouadhibou,Kaedi,6,0
Ligue 1 2022/2023,05.03.2023,ASAC Concorde,Gendrim,1,0
Ligue 1 2022/2023,05.03.2023,Chemal,Nouadhibou,1,2
Ligue 1 2022/2023,04.03.2023,Kaedi,Douane,1,0
Ligue 1 2022/2023,04.03.2023,Police,Madine Trarza,2,3
Ligue 1 2022/2023,04.03.2023,SNIM,Nouakchott King's,3,0
Ligue 1 2022/2023,04.03.2023,Tevragh-Zeina,Ksar,2,0
Ligue 1 2022/2023,03.03.2023,Garde Nationale,Inter Nouakchott,1,0
Ligue 1 2022/2023,27.02.2023,Douane,Chemal,3,0
Ligue 1 2022/2023,27.02.2023,Nouadhibou,Police,3,0
Ligue 1 2022/2023,26.02.2023,Nouakchott King's,ASAC Concorde,1,1
Ligue 1 2022/2023,26.02.2023,Tevragh-Zeina,Garde Nationale,1,0
Ligue 1 2022/2023,25.02.2023,Gendrim,Kaedi,0,0
Ligue 1 2022/2023,25.02.2023,Inter Nouakchott,SNIM,0,0
Ligue 1 2022/2023,24.02.2023,Ksar,Madine Trarza,2,1
Ligue 1 2022/2023,19.02.2023,ASAC Concorde,Inter Nouakchott,0,0
Ligue 1 2022/2023,19.02.2023,Garde Nationale,Ksar,2,1
Ligue 1 2022/2023,18.02.2023,Chemal,Gendrim,0,2
Ligue 1 2022/2023,18.02.2023,Kaedi,Nouakchott King's,1,0
Ligue 1 2022/2023,18.02.2023,Madine Trarza,Nouadhibou,1,2
Ligue 1 2022/2023,18.02.2023,Police,Douane,0,0
Ligue 1 2022/2023,18.02.2023,SNIM,Tevragh-Zeina,1,1
Ligue 1 2022/2023,12.02.2023,ASAC Concorde,Tevragh-Zeina,2,1
Ligue 1 2022/2023,12.02.2023,Ksar,Nouadhibou,0,3
Ligue 1 2022/2023,11.02.2023,Kaedi,Inter Nouakchott,2,1
Ligue 1 2022/2023,11.02.2023,Madine Trarza,Douane,2,1
Ligue 1 2022/2023,11.02.2023,Nouakchott King's,Chemal,1,1
Ligue 1 2022/2023,11.02.2023,Police,Gendrim,0,1
Ligue 1 2022/2023,11.02.2023,SNIM,Garde Nationale,1,1
Ligue 1 2022/2023,05.02.2023,Chemal,Tevragh-Zeina,1,0
Ligue 1 2022/2023,05.02.2023,Madine Trarza,Nouakchott King's,0,2
Ligue 1 2022/2023,05.02.2023,Nouadhibou,Gendrim,2,0
Ligue 1 2022/2023,25.12.2022,Douane,Nouadhibou,1,4
Ligue 1 2022/2023,25.12.2022,Nouakchott King's,Police,3,0
Ligue 1 2022/2023,25.12.2022,Tevragh-Zeina,Kaedi,0,0
Ligue 1 2022/2023,24.12.2022,Garde Nationale,ASAC Concorde,1,0
Ligue 1 2022/2023,24.12.2022,Gendrim,Madine Trarza,0,0
Ligue 1 2022/2023,24.12.2022,SNIM,Ksar,0,0
Ligue 1 2022/2023,23.12.2022,Inter Nouakchott,Chemal,1,2
Ligue 1 2022/2023,21.12.2022,Nouakchott King's,Nouadhibou,2,1
Ligue 1 2022/2023,21.12.2022,Tevragh-Zeina,Police,1,0
Ligue 1 2022/2023,16.12.2022,Kaedi,Garde Nationale,3,4
Ligue 1 2022/2023,16.12.2022,Police,Inter Nouakchott,0,3
Ligue 1 2022/2023,15.12.2022,ASAC Concorde,SNIM,1,1
Ligue 1 2022/2023,15.12.2022,Ksar,Douane,2,1
Ligue 1 2022/2023,11.12.2022,ASAC Concorde,Ksar,2,1
Ligue 1 2022/2023,11.12.2022,Inter Nouakchott,Madine Trarza,2,1
Ligue 1 2022/2023,08.12.2022,Garde Nationale,Chemal,1,3
Ligue 1 2022/2023,08.12.2022,Gendrim,Douane,1,1
Ligue 1 2022/2023,08.12.2022,SNIM,Kaedi,0,3
Ligue 1 2022/2023,04.12.2022,Ksar,Gendrim,2,0
Ligue 1 2022/2023,04.12.2022,Madine Trarza,Tevragh-Zeina,0,1
Ligue 1 2022/2023,04.12.2022,Nouadhibou,Inter Nouakchott,4,0
Ligue 1 2022/2023,04.12.2022,Police,Garde Nationale,1,0
Ligue 1 2022/2023,03.12.2022,Chemal,SNIM,1,0
Ligue 1 2022/2023,03.12.2022,Douane,Nouakchott King's,2,1
Ligue 1 2022/2023,03.12.2022,Kaedi,ASAC Concorde,1,1
Ligue 1 2022/2023,29.11.2022,Garde Nationale,Madine Trarza,6,2
Ligue 1 2022/2023,29.11.2022,Kaedi,Ksar,1,1
Ligue 1 2022/2023,29.11.2022,Nouakchott King's,Gendrim,1,0
Ligue 1 2022/2023,29.11.2022,SNIM,Police,1,1
Ligue 1 2022/2023,29.11.2022,Tevragh-Zeina,Nouadhibou,1,2
Ligue 1 2022/2023,28.11.2022,ASAC Concorde,Chemal,1,2
Ligue 1 2022/2023,28.11.2022,Inter Nouakchott,Douane,0,1
Ligue 1 2022/2023,25.11.2022,Ksar,Nouakchott King's,1,1
Ligue 1 2022/2023,25.11.2022,Nouadhibou,Garde Nationale,3,1
Ligue 1 2022/2023,24.11.2022,Chemal,Kaedi,2,1
Ligue 1 2022/2023,24.11.2022,Gendrim,Inter Nouakchott,2,2
Ligue 1 2022/2023,24.11.2022,Madine Trarza,SNIM,2,1
Ligue 1 2022/2023,23.11.2022,Douane,Tevragh-Zeina,0,0
Ligue 1 2022/2023,23.11.2022,Police,ASAC Concorde,0,2
Ligue 1 2022/2023,19.11.2022,Chemal,Ksar,2,1
Ligue 1 2022/2023,19.11.2022,Inter Nouakchott,Nouakchott King's,0,1
Ligue 1 2022/2023,19.11.2022,Kaedi,Police,0,0
Ligue 1 2022/2023,19.11.2022,SNIM,Nouadhibou,0,1
Ligue 1 2022/2023,18.11.2022,ASAC Concorde,Madine Trarza,2,1
Ligue 1 2022/2023,18.11.2022,Tevragh-Zeina,Gendrim,1,0
Ligue 1 2022/2023,17.11.2022,Garde Nationale,Douane,2,1
Ligue 1 2022/2023,14.11.2022,Nouadhibou,ASAC Concorde,3,2
Ligue 1 2022/2023,14.11.2022,Nouakchott King's,Tevragh-Zeina,0,1
Ligue 1 2022/2023,13.11.2022,Douane,SNIM,1,0
Ligue 1 2022/2023,13.11.2022,Police,Chemal,0,1
Ligue 1 2022/2023,12.11.2022,Gendrim,Garde Nationale,0,0
Ligue 1 2022/2023,12.11.2022,Ksar,Inter Nouakchott,1,2
Ligue 1 2022/2023,12.11.2022,Madine Trarza,Kaedi,1,4
Ligue 1 2022/2023,06.11.2022,Garde Nationale,Nouakchott King's,1,5
Ligue 1 2022/2023,06.11.2022,Police,Ksar,2,1
Ligue 1 2022/2023,05.11.2022,ASAC Concorde,Douane,3,0
Ligue 1 2022/2023,05.11.2022,Kaedi,Nouadhibou,1,1
Ligue 1 2022/2023,05.11.2022,SNIM,Gendrim,0,0
Ligue 1 2022/2023,05.11.2022,Tevragh-Zeina,Inter Nouakchott,0,0
Ligue 1 2022/2023,04.11.2022,Chemal,Madine Trarza,2,1
Ligue 1 2022/2023,30.10.2022,Gendrim,ASAC Concorde,1,2
Ligue 1 2022/2023,30.10.2022,Inter Nouakchott,Garde Nationale,1,3
Ligue 1 2022/2023,29.10.2022,Douane,Kaedi,4,0
Ligue 1 2022/2023,29.10.2022,Ksar,Tevragh-Zeina,1,1
Ligue 1 2022/2023,29.10.2022,Madine Trarza,Police,0,3
Ligue 1 2022/2023,28.10.2022,Nouadhibou,Chemal,3,2
Ligue 1 2022/2023,28.10.2022,Nouakchott King's,SNIM,2,0
Ligue 1 2022/2023,23.10.2022,Garde Nationale,Tevragh-Zeina,0,1
Ligue 1 2022/2023,23.10.2022,Police,Nouadhibou,0,1
Ligue 1 2022/2023,23.10.2022,SNIM,Inter Nouakchott,0,0
Ligue 1 2022/2023,22.10.2022,ASAC Concorde,Nouakchott King's,1,2
Ligue 1 2022/2023,22.10.2022,Chemal,Douane,1,1
Ligue 1 2022/2023,22.10.2022,Kaedi,Gendrim,1,0
Ligue 1 2022/2023,22.10.2022,Madine Trarza,Ksar,1,1
Ligue 1 2022/2023,16.10.2022,Douane,Police,2,0
Ligue 1 2022/2023,16.10.2022,Inter Nouakchott,ASAC Concorde,2,1
Ligue 1 2022/2023,16.10.2022,Ksar,Garde Nationale,0,2
Ligue 1 2022/2023,15.10.2022,Gendrim,Chemal,0,3
Ligue 1 2022/2023,15.10.2022,Nouakchott King's,Kaedi,2,0
Ligue 1 2022/2023,14.10.2022,Nouadhibou,Madine Trarza,6,0
Ligue 1 2022/2023,14.10.2022,Tevragh-Zeina,SNIM,2,3
Ligue 1 2023/2024,05.06.2024,SNIM,Inter Nouakchott,1,2
Ligue 1 2023/2024,03.06.2024,Nouadhibou,Douane,1,3
Ligue 1 2023/2024,02.06.2024,ASAC Concorde,Pompiers,1,0
Ligue 1 2023/2024,02.06.2024,Gendrim,Chemal,0,0
Ligue 1 2023/2024,01.06.2024,Kaedi,Garde Nationale,2,3
Ligue 1 2023/2024,01.06.2024,Nouakchott King's,Entou,3,1
Ligue 1 2023/2024,01.06.2024,Tevragh-Zeina,Ksar,1,0
Ligue 1 2023/2024,29.05.2024,Ksar,Nouadhibou,0,3
Ligue 1 2023/2024,28.05.2024,Douane,Kaedi,2,1
Ligue 1 2023/2024,27.05.2024,Entou,Gendrim,0,2
Ligue 1 2023/2024,26.05.2024,ASAC Concorde,Tevragh-Zeina,0,1
Ligue 1 2023/2024,26.05.2024,Chemal,Pompiers,1,2
Ligue 1 2023/2024,26.05.2024,Inter Nouakchott,Garde Nationale,0,1
Ligue 1 2023/2024,26.05.2024,SNIM,Nouakchott King's,0,0
Ligue 1 2023/2024,20.05.2024,Nouadhibou,Kaedi,2,0
Ligue 1 2023/2024,13.05.2024,Pompiers,Entou,4,2
Ligue 1 2023/2024,12.05.2024,Gendrim,SNIM,0,0
Ligue 1 2023/2024,12.05.2024,Nouadhibou,ASAC Concorde,1,0
Ligue 1 2023/2024,11.05.2024,Tevragh-Zeina,Chemal,2,1
Ligue 1 2023/2024,10.05.2024,Garde Nationale,Douane,0,0
Ligue 1 2023/2024,10.05.2024,Kaedi,Ksar,2,0
Ligue 1 2023/2024,10.05.2024,Nouakchott King's,Inter Nouakchott,1,1
Ligue 1 2023/2024,05.05.2024,ASAC Concorde,Kaedi,2,1
Ligue 1 2023/2024,05.05.2024,Ksar,Garde Nationale,1,1
Ligue 1 2023/2024,05.05.2024,SNIM,Pompiers,3,4
Ligue 1 2023/2024,04.05.2024,Chemal,Nouadhibou,0,1
Ligue 1 2023/2024,04.05.2024,Douane,Inter Nouakchott,3,3
Ligue 1 2023/2024,03.05.2024,Entou,Tevragh-Zeina,0,2
Ligue 1 2023/2024,03.05.2024,Nouakchott King's,Gendrim,1,1
Ligue 1 2023/2024,28.04.2024,Nouadhibou,Entou,1,0
Ligue 1 2023/2024,28.04.2024,Pompiers,Nouakchott King's,1,1
Ligue 1 2023/2024,28.04.2024,Tevragh-Zeina,SNIM,3,0
Ligue 1 2023/2024,27.04.2024,Garde Nationale,ASAC Concorde,1,0
Ligue 1 2023/2024,27.04.2024,Gendrim,Inter Nouakchott,2,5
Ligue 1 2023/2024,27.04.2024,Kaedi,Chemal,3,2
Ligue 1 2023/2024,26.04.2024,Douane,Ksar,2,2
Ligue 1 2023/2024,22.04.2024,SNIM,Nouadhibou,1,1
Ligue 1 2023/2024,21.04.2024,ASAC Concorde,Douane,0,3
Ligue 1 2023/2024,21.04.2024,Nouakchott King's,Tevragh-Zeina,1,1
Ligue 1 2023/2024,20.04.2024,Chemal,Garde Nationale,1,1
Ligue 1 2023/2024,20.04.2024,Entou,Kaedi,3,4
Ligue 1 2023/2024,19.04.2024,Gendrim,Pompiers,2,0
Ligue 1 2023/2024,19.04.2024,Inter Nouakchott,Ksar,1,0
Ligue 1 2023/2024,17.04.2024,Douane,Nouadhibou,6,0
Ligue 1 2023/2024,15.04.2024,Garde Nationale,Entou,3,3
Ligue 1 2023/2024,15.04.2024,Pompiers,Inter Nouakchott,1,0
Ligue 1 2023/2024,14.04.2024,Kaedi,SNIM,2,2
Ligue 1 2023/2024,14.04.2024,Ksar,ASAC Concorde,1,1
Ligue 1 2023/2024,14.04.2024,Tevragh-Zeina,Gendrim,2,0
Ligue 1 2023/2024,13.04.2024,Douane,Chemal,1,1
Ligue 1 2023/2024,13.04.2024,Nouadhibou,Nouakchott King's,2,1
Ligue 1 2023/2024,08.04.2024,Chemal,Ksar,0,1
Ligue 1 2023/2024,08.04.2024,Gendrim,Nouadhibou,1,2
Ligue 1 2023/2024,07.04.2024,Entou,Douane,0,2
Ligue 1 2023/2024,07.04.2024,Inter Nouakchott,ASAC Concorde,3,1
Ligue 1 2023/2024,06.04.2024,SNIM,Garde Nationale,0,0
Ligue 1 2023/2024,05.04.2024,Nouakchott King's,Kaedi,3,1
Ligue 1 2023/2024,05.04.2024,Pompiers,Tevragh-Zeina,1,2
Ligue 1 2023/2024,04.04.2024,Nouadhibou,Chemal,1,0
Ligue 1 2023/2024,31.03.2024,Douane,SNIM,0,0
Ligue 1 2023/2024,30.03.2024,ASAC Concorde,Chemal,2,0
Ligue 1 2023/2024,30.03.2024,Nouadhibou,Pompiers,3,0
Ligue 1 2023/2024,29.03.2024,Garde Nationale,Nouakchott King's,1,3
Ligue 1 2023/2024,29.03.2024,Tevragh-Zeina,Inter Nouakchott,0,0
Ligue 1 2023/2024,28.03.2024,Ksar,Entou,1,1
Ligue 1 2023/2024,15.03.2024,Kaedi,Gendrim,0,1
Ligue 1 2023/2024,12.03.2024,Ksar,SNIM,1,2
Ligue 1 2023/2024,11.03.2024,Inter Nouakchott,Chemal,1,1
Ligue 1 2023/2024,10.03.2024,Gendrim,Garde Nationale,1,0
Ligue 1 2023/2024,10.03.2024,Nouakchott King's,Douane,1,1
Ligue 1 2023/2024,10.03.2024,Tevragh-Zeina,Nouadhibou,0,1
Ligue 1 2023/2024,09.03.2024,Entou,ASAC Concorde,0,0
Ligue 1 2023/2024,09.03.2024,Pompiers,Kaedi,4,2
Ligue 1 2023/2024,07.03.2024,Nouadhibou,Inter Nouakchott,1,0
Ligue 1 2023/2024,03.03.2024,Douane,Gendrim,1,0
Ligue 1 2023/2024,03.03.2024,Ksar,Nouakchott King's,2,1
Ligue 1 2023/2024,02.03.2024,Chemal,Entou,1,0
Ligue 1 2023/2024,02.03.2024,Garde Nationale,Pompiers,0,2
Ligue 1 2023/2024,02.03.2024,Kaedi,Tevragh-Zeina,1,1
Ligue 1 2023/2024,01.03.2024,ASAC Concorde,SNIM,0,1
Ligue 1 2023/2024,26.02.2024,Nouakchott King's,ASAC Concorde,1,1
Ligue 1 2023/2024,26.02.2024,Pompiers,Douane,1,5
Ligue 1 2023/2024,25.02.2024,Gendrim,Ksar,3,0
Ligue 1 2023/2024,25.02.2024,Inter Nouakchott,Entou,3,0
Ligue 1 2023/2024,25.02.2024,SNIM,Chemal,1,1
Ligue 1 2023/2024,25.02.2024,Tevragh-Zeina,Garde Nationale,1,1
Ligue 1 2023/2024,18.02.2024,Entou,SNIM,2,2
Ligue 1 2023/2024,18.02.2024,Garde Nationale,Nouadhibou,0,1
Ligue 1 2023/2024,17.02.2024,Chemal,Nouakchott King's,2,0
Ligue 1 2023/2024,17.02.2024,Douane,Tevragh-Zeina,1,1
Ligue 1 2023/2024,17.02.2024,Kaedi,Inter Nouakchott,2,1
Ligue 1 2023/2024,16.02.2024,ASAC Concorde,Gendrim,1,1
Ligue 1 2023/2024,16.02.2024,Ksar,Pompiers,0,0
Ligue 1 2023/2024,13.02.2024,Nouadhibou,SNIM,2,0
Ligue 1 2023/2024,31.12.2023,Chemal,Gendrim,0,1
Ligue 1 2023/2024,31.12.2023,Inter Nouakchott,SNIM,1,0
Ligue 1 2023/2024,30.12.2023,Entou,Nouakchott King's,1,6
Ligue 1 2023/2024,30.12.2023,Garde Nationale,Kaedi,1,2
Ligue 1 2023/2024,29.12.2023,Ksar,Tevragh-Zeina,1,3
Ligue 1 2023/2024,29.12.2023,Pompiers,ASAC Concorde,2,1
Ligue 1 2023/2024,24.12.2023,Garde Nationale,Inter Nouakchott,1,3
Ligue 1 2023/2024,24.12.2023,Tevragh-Zeina,ASAC Concorde,2,0
Ligue 1 2023/2024,23.12.2023,Kaedi,Douane,0,2
Ligue 1 2023/2024,23.12.2023,Nouakchott King's,SNIM,4,1
Ligue 1 2023/2024,23.12.2023,Pompiers,Chemal,0,2
Ligue 1 2023/2024,22.12.2023,Gendrim,Entou,1,2
Ligue 1 2023/2024,22.12.2023,Nouadhibou,Ksar,3,0
Ligue 1 2023/2024,17.12.2023,Chemal,Tevragh-Zeina,0,2
Ligue 1 2023/2024,17.12.2023,Inter Nouakchott,Nouakchott King's,0,1
Ligue 1 2023/2024,16.12.2023,Douane,Garde Nationale,1,0
Ligue 1 2023/2024,16.12.2023,Entou,Pompiers,1,1
Ligue 1 2023/2024,16.12.2023,SNIM,Gendrim,3,1
Ligue 1 2023/2024,15.12.2023,ASAC Concorde,Nouadhibou,0,2
Ligue 1 2023/2024,15.12.2023,Ksar,Kaedi,1,0
Ligue 1 2023/2024,11.12.2023,Douane,Inter Nouakchott,4,1
Ligue 1 2023/2024,11.12.2023,Gendrim,Nouakchott King's,2,1
Ligue 1 2023/2024,10.12.2023,Garde Nationale,Ksar,0,0
Ligue 1 2023/2024,10.12.2023,Kaedi,ASAC Concorde,1,2
Ligue 1 2023/2024,10.12.2023,Pompiers,SNIM,0,1
Ligue 1 2023/2024,10.12.2023,Tevragh-Zeina,Entou,3,0
Ligue 1 2023/2024,05.12.2023,Entou,Nouadhibou,0,7
Ligue 1 2023/2024,05.12.2023,Ksar,Douane,1,3
Ligue 1 2023/2024,04.12.2023,Inter Nouakchott,Gendrim,0,1
Ligue 1 2023/2024,04.12.2023,Nouakchott King's,Pompiers,2,1
Ligue 1 2023/2024,03.12.2023,ASAC Concorde,Garde Nationale,2,0
Ligue 1 2023/2024,03.12.2023,Chemal,Kaedi,1,1
Ligue 1 2023/2024,03.12.2023,SNIM,Tevragh-Zeina,0,1
Ligue 1 2023/2024,26.11.2023,Tevragh-Zeina,Nouakchott King's,4,0
Ligue 1 2023/2024,25.11.2023,Kaedi,Entou,1,1
Ligue 1 2023/2024,25.11.2023,Ksar,Inter Nouakchott,1,0
Ligue 1 2023/2024,25.11.2023,Pompiers,Gendrim,1,1
Ligue 1 2023/2024,24.11.2023,Douane,ASAC Concorde,2,0
Ligue 1 2023/2024,24.11.2023,Garde Nationale,Chemal,1,1
Ligue 1 2023/2024,12.11.2023,Chemal,Douane,0,0
Ligue 1 2023/2024,12.11.2023,Gendrim,Tevragh-Zeina,1,0
Ligue 1 2023/2024,11.11.2023,Entou,Garde Nationale,2,4
Ligue 1 2023/2024,11.11.2023,Inter Nouakchott,Pompiers,1,1
Ligue 1 2023/2024,11.11.2023,SNIM,Kaedi,0,1
Ligue 1 2023/2024,10.11.2023,ASAC Concorde,Ksar,0,1
Ligue 1 2023/2024,10.11.2023,Nouakchott King's,Nouadhibou,0,1
Ligue 1 2023/2024,05.11.2023,Douane,Entou,3,0
Ligue 1 2023/2024,05.11.2023,Kaedi,Nouakchott King's,1,1
Ligue 1 2023/2024,05.11.2023,Nouadhibou,Gendrim,2,0
Ligue 1 2023/2024,05.11.2023,Tevragh-Zeina,Pompiers,2,0
Ligue 1 2023/2024,04.11.2023,Garde Nationale,SNIM,1,1
Ligue 1 2023/2024,04.11.2023,Ksar,Chemal,1,3
Ligue 1 2023/2024,03.11.2023,ASAC Concorde,Inter Nouakchott,2,0
Ligue 1 2023/2024,01.11.2023,Gendrim,Kaedi,0,2
Ligue 1 2023/2024,01.11.2023,Pompiers,Nouadhibou,0,2
Ligue 1 2023/2024,29.10.2023,Chemal,ASAC Concorde,2,0
Ligue 1 2023/2024,29.10.2023,Inter Nouakchott,Tevragh-Zeina,1,1
Ligue 1 2023/2024,29.10.2023,SNIM,Douane,0,3
Ligue 1 2023/2024,28.10.2023,Entou,Ksar,1,1
Ligue 1 2023/2024,28.10.2023,Nouakchott King's,Garde Nationale,1,2
Ligue 1 2023/2024,27.10.2023,Kaedi,Nouadhibou,0,0
Ligue 1 2023/2024,22.10.2023,Chemal,Inter Nouakchott,3,0
Ligue 1 2023/2024,22.10.2023,Nouadhibou,Tevragh-Zeina,1,1
Ligue 1 2023/2024,21.10.2023,Garde Nationale,Gendrim,0,0
Ligue 1 2023/2024,21.10.2023,Kaedi,Pompiers,0,0
Ligue 1 2023/2024,21.10.2023,SNIM,Ksar,0,0
Ligue 1 2023/2024,20.10.2023,ASAC Concorde,Entou,1,1
Ligue 1 2023/2024,20.10.2023,Douane,Nouakchott King's,2,1
Ligue 1 2023/2024,08.10.2023,Gendrim,Douane,2,1
Ligue 1 2023/2024,08.10.2023,Inter Nouakchott,Nouadhibou,0,4
Ligue 1 2023/2024,07.10.2023,Nouakchott King's,Ksar,1,0
Ligue 1 2023/2024,07.10.2023,SNIM,ASAC Concorde,2,0
Ligue 1 2023/2024,07.10.2023,Tevragh-Zeina,Kaedi,6,1
Ligue 1 2023/2024,06.10.2023,Entou,Chemal,3,1
Ligue 1 2023/2024,06.10.2023,Pompiers,Garde Nationale,1,0
Ligue 1 2023/2024,26.09.2023,Garde Nationale,Tevragh-Zeina,1,0
Ligue 1 2023/2024,26.09.2023,Ksar,Gendrim,0,1
Ligue 1 2023/2024,25.09.2023,ASAC Concorde,Nouakchott King's,1,3
Ligue 1 2023/2024,25.09.2023,Chemal,SNIM,1,1
Ligue 1 2023/2024,24.09.2023,Douane,Pompiers,2,1
Ligue 1 2023/2024,24.09.2023,Entou,Inter Nouakchott,1,2
Ligue 1 2023/2024,22.09.2023,Nouadhibou,Garde Nationale,3,1
Ligue 1 2023/2024,17.09.2023,Inter Nouakchott,Kaedi,0,0
Ligue 1 2023/2024,16.09.2023,Nouakchott King's,Chemal,1,1
Ligue 1 2023/2024,16.09.2023,SNIM,Entou,0,3
Ligue 1 2023/2024,16.09.2023,Tevragh-Zeina,Douane,1,2
Ligue 1 2023/2024,15.09.2023,Gendrim,ASAC Concorde,0,0
Ligue 1 2023/2024,15.09.2023,Pompiers,Ksar,0,1
Ligue 1 2024/2025,30.05.,Garde Nationale,Nouakchott King's,1,1
Ligue 1 2024/2025,30.05.,Toulde,Ksar,3,0
Ligue 1 2024/2025,29.05.,Kaedi,Douane,2,0
Ligue 1 2024/2025,28.05.,Gendrim,Inter Nouakchott,0,0
Ligue 1 2024/2025,28.05.,SNIM,Al-Hilal Omdurman,0,1
Ligue 1 2024/2025,27.05.,Nouadhibou,Nzeidane,2,0
Ligue 1 2024/2025,27.05.,Pompiers,Chemal,1,2
Ligue 1 2024/2025,27.05.,Tevragh-Zeina,Al-Merreikh,4,0
Ligue 1 2024/2025,25.05.,Gendrim,Al-Hilal Omdurman,1,2
Ligue 1 2024/2025,23.05.,Al-Merreikh,Pompiers,0,0
Ligue 1 2024/2025,23.05.,Inter Nouakchott,Nouadhibou,0,2
Ligue 1 2024/2025,23.05.,Nouakchott King's,Toulde,3,0
Ligue 1 2024/2025,23.05.,SNIM,Kaedi,3,1
Ligue 1 2024/2025,21.05.,Al-Hilal Omdurman,Ksar,0,0
Ligue 1 2024/2025,21.05.,Chemal,Garde Nationale,2,2
Ligue 1 2024/2025,21.05.,Douane,Gendrim,3,0
Ligue 1 2024/2025,21.05.,Nzeidane,Tevragh-Zeina,2,1
Ligue 1 2024/2025,18.05.,Al-Hilal Omdurman,Pompiers,2,1
Ligue 1 2024/2025,17.05.,Nouadhibou,Douane,1,1
Ligue 1 2024/2025,17.05.,Tevragh-Zeina,Inter Nouakchott,1,1
Ligue 1 2024/2025,17.05.,Toulde,Chemal,0,2
Ligue 1 2024/2025,16.05.,Kaedi,Ksar,2,0
Ligue 1 2024/2025,16.05.,Nzeidane,Al-Merreikh,0,0
Ligue 1 2024/2025,15.05.,Al-Hilal Omdurman,Nouakchott King's,2,1
Ligue 1 2024/2025,15.05.,Gendrim,SNIM,0,1
Ligue 1 2024/2025,14.05.,Garde Nationale,Pompiers,3,1
Ligue 1 2024/2025,12.05.,Al-Hilal Omdurman,Nouadhibou,1,1
Ligue 1 2024/2025,09.05.,Kaedi,Al-Hilal Omdurman,2,4
Ligue 1 2024/2025,06.05.,Chemal,Al-Hilal Omdurman,1,1
Ligue 1 2024/2025,06.05.,Ksar,Gendrim,2,1
Ligue 1 2024/2025,06.05.,SNIM,Nouadhibou,0,2
Ligue 1 2024/2025,05.05.,Douane,Tevragh-Zeina,0,0
Ligue 1 2024/2025,05.05.,Nouakchott King's,Kaedi,3,1
Ligue 1 2024/2025,04.05.,Garde Nationale,Toulde,1,0
